fr	en	fr_sen	en_sen
joli	adj.pretty	Tu es très jolie.	You are very pretty.
vouloir	v.to want	Ne voulez-vous pas savoir qui est cet homme ?	Don't you want to know who this man is?
envoyer	v.to send	Je veux envoyer une lettre à ma mère.	I want to send my mother a letter.
soleil	n.sun	Le soleil est très important pour la vie.	The sun is very important for life.
selon	prep.according to	Selon le journal, la grève est terminée.	According to the newspaper, the strike is over.
arrière	adj n.back	Je pensais vous avoir dit de rester en arrière.	I thought I told you to stay back.
lire	v.to read	Je veux quelque chose à lire.	I want something to read.
doucement	adv.softly	Parle doucement.	Speak softly.
tenir	v.to hold	J'ai tenu la main de mon fils pour traverser la route.	I held my son's hand to cross the road.
sortie	n.exit	La sortie sera sur la gauche.	The exit will be on the left.
poser	v.to put	J'ai posé mon verre sur la table de la cuisine.	I put my glass on the kitchen table.
chaud	adj.hot	Le café est très chaud.	The coffee is very hot.
connaître	v.to know	Je connais un bon restaurant à proximité.	I know a good restaurant nearby.
loi	n.law	Tu connais la loi.	You know the law.
gamin	n.kid	Je ne suis pas un gamin.	I am not a kid.
professeur	n.teacher	Je suis professeur.	I am a teacher.
froid	adj n.cold	Il veut boire quelque chose de froid.	He wants to drink something cold.
but	n.goal	Nous avons le même but.	We have the same goal.
debout	adv int.standing	Il est toujours debout.	He is still standing.
boîte	n.box	Je peux mettre des choses dans une boîte.	I can put things in a box.
ciel	n.sky	Le soleil est dans le ciel.	The sun is in the sky.
enquête	n.investigation	Notre enquête est en cours.	Our investigation is ongoing.
télé	abbr.tv	Il regarde parfois la télé.	He sometimes watches TV.
oublier	v.to forget	Essaie de ne rien oublier.	Try not to forget anything.
poste	n.station	Je dois me rendre au poste de police.	I have to go to the police station.
triste	adj.sad	Je suis triste quand il pleut.	I am sad when it rains.
aimer	v.to love	Je vous aime plus que je ne peux dire.	I love you more than I can say.
preuve	n.proof	Je veux une preuve.	I want proof.
dame	n.lady	Je me demande qui était cette dame.	I wonder who this lady was.
écouter	v.to listen to	Les enfants écoutaient le professeur attentivement.	The children listened to the teacher attentively.
cuisine	n.kitchen	La cuisine est en bas.	The kitchen is downstairs.
sentir	v.to feel	Je voulais vous faire sentir comme chez vous.	I wanted to make you feel at home.
blanc	adj.white	Ce chien est blanc.	This dog is white.
chanson	n.song	Cette chanson est belle.	This song is beautiful.
gueule	n.mouth	Il a une grande gueule.	He has a big mouth.
santé	int n.health	Mon frère est en bonne santé.	My brother is in good health.
déjeuner	n v.lunch	Je dois prendre mon déjeuner.	I must have my lunch.
pourtant	yet / however	J'ai beaucoup mangé je n'avais pourtant pas très faim.	I ate a lot I was not very hungry, however.
ouvrir	v.to open	La nouvelle fenêtre est très dure à ouvrir.	The new window is very hard to open.
âme	n.soul	Que son âme repose en paix.	May his soul rest in peace.
voler	v.to fly	L'avion vole à l'altitude normale.	The plane is flying at the usual altitude.
chacun	pro.each	Chacun de nous devrait faire de son mieux.	Each of us should do our best.
clé	n.key	Voici la clé de ta chambre.	Here is the key to your room.
bord	n.side	J'ai garé ma voiture sur le bord de la route.	I parked my car at the side of the road.
vendre	v.to sell	Il a décidé de vendre sa voiture.	He decided to sell his car.
enfer	n.hell	C'était parfois l'enfer, mais j'ai finalement terminé le marathon.	It was hell at times, but eventually I finished the marathon.
diable	n.devil	Les gens disent que je suis le diable.	People say that I am the devil.
appartement	n.apartment	Voici la clé de mon appartement.	Here is the key to my apartment.
étrange	adj.strange	Quel homme étrange	What a strange man!
monter	v.to mount	Le moteur a assez de puissance pour monter la colline.	The engine has enough power to go up the hill.
bouche	n.mouth	Ouvre la bouche.	Open your mouth.
écrire	v.to write	Je vais écrire une lettre.	I will write a letter.
cheval	n.horse	Je veux monter à cheval.	I want to ride a horse.
honte	n.shame	Il n'y a pas de honte à demander de l'aide.	There is no shame in asking for help.
emmener	v.to take away	J'emmènerai mon frère à la ville.	I will take my brother to the city.
soin	n.care	Je prends soin de moi.	I take care of myself.
milieu	n.middle	Il y a une petite île au milieu du lac.	There is a small island in the middle of the lake.
prochain	adj n.next	Elle va avoir un bébé le mois prochain.	She is going to have a baby next month.
rire	n v.laughter	Le rire est bon pour la santé.	Laughter is good for your health.
voie	n.path	Je pense que nous sommes sur la bonne voie.	I think we are on the right path.
blague	n.joke	C'est une blague entre nous.	This is a joke between us.
trou	n.hole	Je dois creuser un trou afin de planter cette fleur.	I must dig a hole to plant this flower.
intérêt	n.interest	Je doute que ce soit de quelque intérêt pour vous.	I doubt that this is of any interest to you.
tel	adj.such	Ne sois pas un tel pauvre type !	Don't be such a poor guy!
réunion	n.meeting	Elle est en réunion.	She is in a meeting.
époque	n.time	Tu étais si jeune à cette époque.	You were so young at the time.
cacher	v.to hide	Je dois me cacher.	I have to hide.
peau	n.skin	Les serpents perdent régulièrement leur peau.	Snakes regularly shed their skin.
dingue	adj.crazy	C'est complètement dingue.	This is completely crazy.
robe	n.dress	C'est une jolie robe.	It is a pretty dress.
bière	n.beer	Avez-vous de la bière ?	Do you have beer?
lequel	pro.which	Lequel devrais-je utiliser ?	Which should I use?
don	n.gift (talent for something)	La musique est un don de Dieu.	Music is a gift from God.
journal	n.newspaper	Avez-vous fini de lire le journal?	Have you finished reading the newspaper?
sept	num.seven	Je serai de retour à sept heures.	I will be back at seven o'clock.
base	n.foundation	Le secteur minier est la base de notre économie.	The mining sector is the foundation of our economy.
vin	n.wine	Donne-moi le vin.	Give me the wine.
servir	v.to serve	Puis-je te servir un verre?	Can I serve you a drink?
jeter	v.to throw	Elle a jeté la balle dans le panier.	She threw the ball in the basket.
mer	n.sea	La fenêtre de ma chambre donne sur la mer.	My bedroom window overlooks the sea.
tort	n.fault	Le conducteur était en tort en passant au feu rouge.	The driver was at fault in passing the red light.
ouvert	adj.open	C'est ouvert.	It's open.
récupérer	v.to retrieve	Nous pouvons facilement récupérer les données stockées dans le système.	We can easily retrieve the data stored in the system.
nez	n.nose	Mon nez est gros.	My nose is big.
enceinte	adj.pregnant	Elle est enceinte.	She is pregnant.
secours	n.help	Le navire était en difficulté et a appelé au secours.	The ship was in distress and sent a signal for help.
entrée	n.entrance	Mon bureau est accessible depuis l'entrée principale.	My office is accessible via the main entrance.
fric	n.money	Je me fais du fric en achetant et en revendant des voitures.	I'm making money buying and reselling cars.
environ	adv.about	Je serai de retour dans environ une heure.	I will be back in about an hour.
répondre	v.to answer	Tu dois répondre à ces questions.	You must answer these questions.
départ	n.start	Il le savait depuis le départ.	He knew it from the start.
vérifier	v.to verify	Je peux vérifier par moi-même que c'est la vérité.	I can verify for myself that it is the truth.
lune	n.moon	Il a marché sur la lune.	He walked on the moon.
bruit	n.noise	Nous avons fait beaucoup de bruit.	We made a lot of noise.
intéressant	adj.interesting	C'est très intéressant.	It is very interesting.
lycée	n.high school	Je pense que tu devrais aller au lycée.	I think you should go to high school.
inutile	useless	Cela la rendrait totalement inutile	That would make it completely useless.
tas	n.pile	Le couple a pris des tas de photos pendant le voyage.	The couple took tons of pictures during the trip.
apparemment	apparently	Apparemment, ils ont survécu.	Apparently they survived.
bête	adj.beast	J'ai raconté une blague bête mais drôle.	I told a stupid but funny joke.
avenir	n.future	Les enfants sont notre avenir.	Children are our future.
thé	n.tea	Tu veux un peu de thé?	Do you want some tea?
bande	n.gang	La police a arrêté une bande de voleurs.	The police arrested a gang of thieves.
œil	n.eye	Garde un œil sur les filles.	Keep an eye on the girls.
plupart	n.majority	La plupart de l'électorat a voté oui.	A majority of the electorate voted yes.
procès	n.trial	L'avocat défendra la victime au procès.	The advocate will defend the victim during the trial.
sérieusement	adv.seriously	Il nous faut parler sérieusement.	We need to speak seriously.
pitié	pity / mercy	Parfois, j'ai pitié d'elle.	Sometimes I pity her
humain	adj n.human	La psyché humaine est très complexe.	The human psyche is very complex.
liberté	n.freedom	Je veux ma liberté.	I want my freedom.
anglais	adj n.english	Je ne parle pas anglais.	I do not speak English.
nourriture	n.food	La nourriture est sur la table.	Food is on the table.
nord	n.north	Ma maison est dans la partie nord de la ville.	My house is in the northern part of the city.
éviter	v.to avoid	C'est un homme paisible qui évite le conflit.	He is a peaceful man who avoids confrontation.
cour	n.yard	Il y a une cour derrière la maison.	There is a yard behind the house.
empêcher	v.to prevent	La barrière empêche les enfants de prendre les escaliers.	The barrier prevents children from using the stairs.
mur	n.wall	Mets-la sur le mur.	Put it on the wall.
conduire	v.to drive	La prochaine fois ce sera à moi de conduire.	Next time it will be up to me to drive.
tante	n.aunt	Elle ressemble à sa tante.	She looks like her aunt.
marier	v.to marry	Je veux me marier avec une fille comme elle.	I want to marry a girl like her.
vide	adj.empty	L'avion était presque vide.	The plane was almost empty.
sud	n.south	Ma maison est face au sud.	My house is facing south.
église	n.church	Une allée étroite mène à la vieille église.	A narrow pathway leads to the old church.
merveilleux	adj.wonderful	Ça a été merveilleux.	It was wonderful.
huit	num.eight	Mon frère a huit ans de plus que moi.	My brother is eight years older than me.
sol	n.ground	Regarde le sol.	Look at the ground.
niveau	n.level (degree of something)	Le premier niveau de ce jeu vidéo est très simple.	The first level of this video game is very easy.
fenêtre	n.window	Voulez-vous que je ferme la fenêtre ?	Do you want me to close the window?
magasin	n.store	Je suis allé au magasin.	I went to the store.
asseoir	v.to seat	L'hôte invita ses convives à s'asseoir à table.	The host invited his guests to sit at the table.
mignon	adj.cute	C'est très mignon.	It's very cute.
obtenir	v.to get	Mon frère connaît la procédure pour obtenir un visa.	My brother knows the procedure to obtain a visa.
reine	n.queen	Je vois une reine.	I see a queen.
espoir	n.hope	C'est son seul espoir.	It's his only hope.
glace	n.ice	L'eau est de la glace liquéfiée.	Water is liquid ice.
danser	v.to dance	Avez-vous envie de danser?	Do you want to dance?
quartier	n.neighborhood	Je connais ce quartier.	I know this neighborhood.
lorsque	conj.when	Lorsque je me trouve avec toi, je suis heureux.	When I am with you, I am happy.
douleur	n.pain	Je vais vous donner quelque chose pour la douleur.	I will give you something for the pain.
ravi	adj.delighted	Il sera ravi de te voir.	He will be delighted to see you.
spectacle	n.show	Je veux voir un spectacle.	I want to see a show.
proche	adj.close	Je veux savoir si c'est proche.	I want to know if it's close.
d'abord	adv.firstly	Je vais d'abord lire les instructions.	I will read the instructions first.
honnête	adj.honest	Sois honnête avec moi.	Be honest with me.
camion	n.truck	Le camion est parti.	The truck left.
assurer	v.to ensure	Le logiciel assure le bon fonctionnement de la machine.	The software ensures the machine works properly.
projet	n.project	Je suis fier de faire partie de ce projet.	I am proud to be part of this project.
parole	n.word	Il est fiable et tient toujours parole.	He is trustworthy and always keeps his word.
gosse	n.kid	Mets le gosse au lit !	Put the kid in bed!
discuter	v.to discuss	Elle avait quelque chose à discuter avec lui.	She had something to discuss with him.
remettre	v.to put back	J'ai remis le livre sur l'étagère.	I put the book back on the shelf.
copain	n.friend	Les enfants ont passé l'après-midi avec leurs copains.	The children spent the afternoon with their friends.
épouser	v.to marry	Je vous aime et je veux vous épouser.	I love you and I want to marry you.
portable	adj n.cell phone	J'utilise un portable pour appeler mes amis.	I use a mobile phone to call my friends.
choisir	v.to choose	C'est dur de choisir.	It's hard to choose.
rappeler	v.to remember	Je ne me rappelle plus très bien.	I no longer remember very well.
offrir	v.to offer	Puis-je vous offrir une boisson ?	Can I offer you a drink?
pression	n.pressure	Mes parents me mettent la pression.	My parents are pressuring me.
découvrir	v.to discover	Je ferai tout mon possible pour découvrir qui a fait ça.	I will do my best to discover who did this.
court	adj.short	Un résumé doit être court et concis.	A summary has to be short and concise.
bain	n.bath	Votre bain est prêt.	Your bath is ready.
détruire	v.to destroy	La tempête menace de détruire les récoltes.	The storm threatens to destroy the crops.
chanter	v.to sing	C'est à ton tour de chanter.	It's your turn to sing.
énorme	adj.huge	C'est énorme.	It's huge.
envers	prep.towards	Il est bien disposé envers elle.	He’s well disposed towards her.
réfléchir	v.to think	Donne-moi un peu de temps pour réfléchir.	Give me some time to think.
pierre	n.stone	J'ai un coffre plein de pierres précieuses.	I have a chest full of precious stones.
lâche	n.coward	Il est lâche.	He’s a coward.
enlever	v.to remove, to take off	Je vais enlever les vieux livres de l'étagère.	I will remove the old books from the shelf.
sauter	v.to jump	Il a défié son ami de sauter.	He challenged his friend to jump.
nécessaire	adj.necessary	Parfois il est nécessaire de dire la vérité.	Sometimes it is necessary to tell the truth.
immédiatement	adv.immediately	Arrête immédiateme	Stop immediately!
arranger	v.arrange	Pouvons-nous arranger ça ?	Can we fix this?
couteau	n.knife	C'est un couteau de cuisine.	It is a kitchen knife.
durant	during	Il court durant une heure tous les matins.	He runs for an hour every morning.
ancien	adj.old	Ce livre est très ancien.	This book is very old.
vent	n.wind	Quel vent !	What a wind!
tourner	v.to turn (right or left)	Tourne à la deuxième à gauche.	Turn to the second left.
repas	n.meal	Le repas est prêt.	The meal is ready.
taille	n.size	Regardez la taille de ce truc !	Look at the size of this thing!
politique	adj n.politics	En période électorale, mes amis aiment discuter de politique.	At election time, my friends enjoy discussing politics.
papier	n.paper	Les livres sont faits de papier.	Books are made of paper.
contrat	n.contract	Nous avons un contrat.	We have a contract.
chat	n.cat	Le chat est dans la maison.	The cat is in the house.
beauté	n.beauty	C'est une vraie beauté.	It is a real beauty.
ordinateur	n.computer	Je vais peut-être acheter un ordinateur tout neuf.	Maybe I will buy a brand new computer.
carrière	n.career	Sa carrière est une inspiration pour ses pairs.	Her career is an inspiration for her peers.
bonheur	n.happiness	Je sais que vous voulez mon bonheur.	I know you want my happiness.
mémoire	n.memory	Mon frère a une bonne mémoire.	My brother has a good memory.
permis	n.license	Un jour, ils vont te prendre ton permis de conduire.	One day, they will take your driver's license.
contraire	adj n.opposite	Elle fait toujours le contraire.	She always does the opposite.
joyeux	adj.happy	Le climat à bord du bateau était joyeux.	The mood on board the boat was happy.
parmi	prep.among	Il n'y a que dix garçons parmi tous les élèves.	There are only ten boys among all of the pupils.
crise	n.crisis	Le président a convoqué une réunion pour répondre à la crise.	The president called a meeting to address the crisis.
marrant	adj.funny	C'est très marrant.	It's very funny.
série	n.series	J'ai hâte de voir le dernier épisode de cette série.	I am eager to watch the last part of this series.
piste	n.trail	Le chasseur a suivi la piste du cerf.	The hunter followed the deer's trail.
puisque	conj.since	Puisque je suis ici, laissez-moi vous aider.	Since I am here, let me help you.
maladie	is not contagious.n.	Ma maladie n'est pas contagieuse.	My disease 
cible	n.target	Tu as touché au centre de la cible.	You hit the center of the target.
fil	n.thread	Le fil est utilisé en broderie.	Thread is used in embroidery.
pleurer	v.to cry	Allons ! Ce n'est pas la peine de pleurer pour ça.	Come on! There is no need to cry over this.
totalement	adv.totally	Le mien est totalement différent.	Mine is totally different.
remercier	v.to thank someone	Je veux vous remercier pour tout ce que vous avez fait.	I want to thank you for all that you have done.
entier	adj n.whole	Le monde entier nous regarde.	The whole world is watching us.
couleur	n.color	De quelle couleur sont-ils?	What color are they?
île	n.island	Il y a une petite île au milieu du lac.	There is a small island in the middle of the lake.
fermer	v.to close	Puis-je vous demander de fermer la fenêtre ?	Can I ask you to close the window?
soldat	n.soldier	Cet homme est soldat.	This man is a soldier.
étage	n.floor (level of a building)	Mon bureau est au quatrième étage.	My office is on the fourth floor.
épouse	n.wife	Voici mon épouse.	This is my wife.
régler	v.to settle	Mon père m'a aidé à régler mes dettes.	My father helped me to settle my debts.
frais	adj.fresh	Je veux boire quelque chose de frais.	I want to drink something fresh.
langue	n.language	Je peux comprendre ta langue.	I can understand your language.
mentir	v.to lie	J'ai promis à mes amis que je ne leur mentirais jamais.	I promised my friends that I would never lie to them.
sacré	adj.sacred	Beaucoup de religions ont des textes sacrés.	Many religions have holy writings.
poisson	n.fish	Vous aimez le poisson ?	Do you like fish?
frapper	v.to knock	Veuillez frapper avant d'entrer.	Please knock before entering.
courir	v.to run	Un guépard peut courir très rapidement.	A cheetah can run very fast.
bouger	v.to move	Je leur dis de ne pas bouger.	I tell them not to move.
rejoindre	v.to rejoin	Je vais rejoindre le club de golf le mois prochain.	I will join the golf club next month.
bleu	adj.blue	Le bleu vous va très bien.	Blue suits you very well.
destin	n.destiny	C'est ton destin.	It is your destiny.
faible	adj.weak	J'ai un rhume et je me sens très faible.	I have a cold and feel very weak.
lait	n.milk	Je veux du lait.	I want milk.
adieu	int.farewell	Adieu!	Farewell!
pont	n.bridge	Ce pont est très beau.	This bridge is very beautiful.
costume	n.suit	Ce costume te va bien.	This suit looks good on you.
attraper	v.to catch	Je vais te montrer comment attraper un poisson.	I'll show you how to catch a fish.
partenaire	n.partner	Je suis ton partenaire.	I am your partner.
goût	n.taste	C'est une question de goût.	It is a matter of taste.
sourire	n v.smile	Elle lui a envoyé un grand sourire.	She sent him a big smile.
bouteille	n.bottle	La bouteille est pleine.	The bottle is full.
formidable	adj.wonderful	Tu es une femme formidable !	You are a wonderful woman!
tribunal	n.court	On se verra au tribunal.	We'll see you in court.
français	adj n.french	Je connais un peu de français.	I know a little French.
foi	n.faith	C'est un homme de foi.	He is a man of faith.
évidemment	adv.obviously	Évidemment, vous pouvez rester.	Obviously, you can stay.
chasse	n.hunt	Ils ont fait une bonne chasse.	They had a good hunt.
amener	v.to bring (a person)	J'amène mon fils à l'école.	I bring my son to school.
os	n.bone	Vous êtes-vous jamais cassé un os ?	Have you ever broken a bone?
afin	in order to	Je prends des leçons afin d'apprendre le français.	I'm taking lessons in order to learn French.
gâteau	n.cake	Ma mère fait le meilleur gâteau au chocolat.	My mother makes the best chocolate cake.
cou	n.neck	Notre entraîneur porte un sifflet autour du cou.	Our coach carries a whistle around his neck.
couper	v.to cut	Tu devrais te couper les cheveux.	You should cut your hair.
utile	adj.useful	Je veux être utile.	I want to be useful.
jambe	n.leg	Le chien m'a mordu la jambe.	The dog bit my leg.
bref	adj.brief	Le résumé de deux minutes était bref mais intéressant.	The two-minute summary was brief but interesting.
morceau	n.piece	Elle lui a donné un morceau de papier.	She gave him a piece of paper.
raconter	v.to tell	Je vais te raconter une histoire.	I'll tell you a story.
justement	adv.exactly	C’est justement ce qu’il fallait faire.	That’s exactly what needed doing.
discours	n.speech	Elle avait peur de faire un discours.	She was afraid to give a speech.
rapidement	adv.quickly	Je veux faire ça rapidement.	I want to do this quickly.
méchant	adj.mean	Vous êtes si méchant.	You are so mean.
jouet	n.toy	J'ai finalement acheté le jouet.	I finally bought the toy.
lien	n.link	Il y a un lien évident entre la nutrition et la santé.	There is an obvious link between nutrition and health.
appareil	n.device	L'appareil doit être placé sur un sol plat.	The device must be placed on level ground.
ange	n.angel	Tu es un ange.	You are an angel.
compter	v.to count	Mon fils sait compter jusqu'à vingt.	My son can count to twenty.
malgré	prep.despite	Malgré l'embouteillage, nous sommes arrivés à temps.	Despite the traffic jam, we arrived on time.
reprendre	v.to resume	Je veux reprendre le cours de ma vie.	I want to resume the course of my life.
magie	n.magic	Ça marche comme par magie.	It works like magic.
chapeau	n.hat	Il me faut un chapeau.	I need a hat.
décider	v.to decide	C'est à toi de décider ce que tu veux faire.	It is up to you to decide what you want to do.
agir	v.to act	Je n'ai jamais vu mon chat agir comme ça.	I have never seen my cat act like that.
vendredi	n.friday	On fait une fête vendredi soir.	We have a party Friday evening.
malheureusement	adv.unfortunately	Malheureusement, j'ai perdu le pari.	Unfortunately, I have lost the bet.
mince	adj.thin	La couche de glace était mince et fragile.	The layer of ice was thin and fragile.
saison	n.season	Il fait chaud pour la saison.	It is hot for the season.
gérer	v.to manage	Le nouvel employé gère les comptes des clients.	The new employee manages the client accounts.
pain	n.bread	Je vais faire du pain.	I'm going to make bread.
règle	n.rule	Je comprends la règle.	I understand the rule.
malin	adj.smart	Ce garçon est malin.	This boy is smart.
toit	n.roof	Le chat est sur le toit.	The cat is on the roof.
doux	adj.soft	Le tissu de ma robe est très doux.	The fabric of my dress is very soft.
coffre	n.trunk	Ferme le coffre.	Close the trunk.
couverture	n.blanket	Je veux une couverture.	I want a blanket.
arbre	n.tree	Cet arbre est plus vieux que cette voiture.	This tree is older than this car.
réparer	v.to repair	Je pense que je peux réparer ça.	I think I can fix this.
lever	n v.to lift	Les élèves doivent lever la main s'ils ont une question.	Students must raise their hand if they have a question.
enchanté	adj.delighted	Je suis enchanté de vous rencontrer.	I am delighted to meet you.
apporter	v.to bring (something)	Le serveur nous a apporté la note.	The waiter brought us the check.
jardin	n.garden	Mon père est dans le jardin.	My father is in the garden.
partager	v.to share	Je veux le partager avec vous.	I want to share it with you.
plage	n.beach	Notre maison est face à la plage.	Our house is facing the beach.
échapper	v.to escape	La proie a réussi à échapper aux chasseurs.	The quarry managed to escape from the hunters.
revoir	v.to see again	Revoir mon ami m'a rendu joyeux et heureux.	Seeing my friend again made me cheerful and happy.
également	adv.also	Tu es également mon meilleur ami.	You are also my best friend.
folie	n.madness	C'est la folie.	This is madness.
samedi	n.saturday	Pourriez-vous réfléchir à vous occuper de mes enfants samedi prochain ?	Could you think about looking after my children next Saturday?
mode	n.fashion	Elle adore la mode et est toujours habillée élégamment.	She loves fashion and is always dressed elegantly.
maire	n.mayor	Il connaît le maire.	He knows the mayor.
inquiéter	v.to worry	Vous aviez raison de vous inquiéter.	You were right to worry.
recevoir	v.to receive	Il est mieux de donner que de recevoir.	It is better to give than to receive.
réel	adj n.real	C'est ici le monde réel.	This is the real world.
poids	n.weight	Elle prend du poids.	She is gaining weight.
prévenir	v.to warn	J'ai prévenu mon ami que je serais en retard.	I warned my friend that I would be late.
suivant	adj.next	Je lui ai dit de venir le jour suivant.	I told him to come the next day.
poche	n.pocket	C'est dans la poche!	It's in the pocket!
vitesse	is very high now.n.	La vitesse du vent est très élevée maintenant.	The wind speed 
fantôme	n.ghost	Es-tu un fantôme ?	Are you a ghost?
viande	n.meat	Je mange beaucoup de viande.	I eat a lot of meat.
poulet	n.chicken	Elle a acheté un poulet.	She bought a chicken.
file	n.line of objects placed one after another	Le directeur a ordonné aux enfants de se mettre en file.	The headmaster directed the children to stand in line.
abandonner	v.to give up	Je choisis de persévérer plutôt que d'abandonner.	I choose to persevere rather than giving up.
embrasser	v.to kiss	Je veux vous embrasser.	I want to kiss you.
dimanche	n.sunday	Hier c'était dimanche, pas samedi.	Yesterday was Sunday, not Saturday.
amusant	adj.fun	La fête était vraiment amusante.	The party was really fun.
cent	num.hundred	Tu as raison à cent pour cent.	You are one hundred percent right.
retraite	n.retirement (the portion of one's life after retiring from one's career)	Nous avons organisé une fête pour la retraite de notre collègue.	We organized a party for our colleague's retirement.
étranger	adj n.foreigner	Elle est mariée à un étranger.	She is married to a foreigner.
paradis	heaven	Le sentier entre l'enfer et le paradis est étroit.	The path between hell and heaven is narrow.
directement	adv.directly	Je suis allé directement au lit.	I went straight to bed.
champ	n.field	Une clôture entoure le champ.	A fence surrounds the field.
débarrasser	rid (get rid of)	De quoi puis-je me débarrasser ?	What can I get rid of? 
manquer	v.to miss	Il est rare que ma fille manque l'école.	It is unusual for my daughter to miss school.
doigt	n.finger	Elle porte une bague au doigt.	She wears a ring on her finger.
piège	n.trap	Cela pourrait être un piège.	This could be a trap.
marque	n.brand (clothing, product, etc.)	Quelle est la marque?	What is the brand?
perte	n.loss	J'ai signalé la perte de mon portefeuille à la police.	I reported the loss of my wallet to the police.
créer	v.to create	J'ai créé un profil sur un nouveau réseau social.	I created a profile on a new social network.
nettoyer	v.to clean	Il est temps de nettoyer ta chambre.	It's time to clean your room.
note	n.grade	Il a obtenu la note 15 sur 20 pour ça composition français.	He received a grade of 15 out of 20 for his french essay.
franchement	adv.honestly	Il a parlé franchement de son passé.	He spoke frankly about his past.
bâtiment	n.building	Le nouveau bâtiment est énorme.	The new building is huge.
heureusement	adv.fortunately	Heureusement, mon fils a été épargné par la maladie.	Fortunately, my son was spared the disease.
connaissance	n.knowledge	Ma sœur a une bonne connaissance du français.	My sister has a good knowledge of French.
mensonge	n.lie	Il a décidé de raconter un mensonge plutôt que de dire la vérité.	He decided to spin a lie instead of telling the truth.
joindre	v.to join	Tu peux te joindre.	You can join.
convaincre	v.to convince	C'est mon travail de vous convaincre.	It's my job to convince you.
nerveux	adj.nervous	Je suis toujours très nerveux avant un examen.	I am always very nervous before an exam.
pantalon	n.pants	Où est mon pantalon ?	Where are my pants?
douche	n.shower	Prends une douche !	Take a shower!
bataille	n.battle	Nous avons gagné la bataille.	We have won the battle.
sentiment	n.feeling	Je me rappelle ce sentiment.	I remember this feeling.
traitement	n.treatment	Le patient a bien réagi au traitement.	The patient responded well to the treatment.
volonté	n.will	Une équipe doit manifester la volonté de coopérer.	A team needs to show willingness to cooperate.
souci	n.worry	J'ai oublié mes soucis après une journée à la plage.	I forgot my worries after a day at the beach.
reposer	v.to rest	Je pense que vous devriez vous reposer un moment.	I think you should rest for a while.
victoire	n.victory	Le nouveau joueur a mené l'équipe à la victoire.	The new player led the team to victory.
queue	n.line up	Il y avait une longue queue devant l'attraction touristique.	There was a long line in front of the tourist attraction.
désormais	adv.from now on	Désormais, c'est moi le roi.	From now on, I'm the king.
paquet	n.package	Ouvre le paquet.	Open the package.
autrement	adv.otherwise	Je pense autrement.	I think otherwise.
lancer	v.to throw	Sais-tu lancer ?	Can you throw?
infirmière	n.nurse	L'infirmière a bandé le bras du patient.	The nurse bandaged the patient's arm.
métier	n.profession	Son métier est médecin.	His profession is doctor.
bague	n.ring	Je ne veux pas la bague.	I don't want the ring.
aveugle	adj n.blind	L'homme est aveugle.	The man is blind.
veste	n.jacket	Où est ma veste ?	Where's my jacket?
propriétaire	n.owner	Qui est le propriétaire de cette maison ?	Who is the owner of this house?
fuir	v.to flee	Le bruit a fait fuir tous les animaux.	The noise caused all the animals to flee.
oiseau	n.bird	Cet oiseau sait voler.	This bird knows how to fly.
retirer	v.to withdraw	Il a retiré la clé de la serrure.	He removed the key from the lock.
récemment	adv.recently	Le musée a récemment modernisé son système de sécurité.	The museum has recently upgraded its security system.
célèbre	adj.famous	Ce type est célèbre.	This guy is famous.
fiston	n.son	Mon fiston a six ans.	My son is 6 years old.
vert	adj.green	Le vert te va bien.	Green looks good on you.
assurance	n.insurance	Ma voiture est couverte par mon assurance.	My car is covered by my insurance.
charmant	adj.charming	C'est charmant.	It is charming.
chemise	n.shirt	Elle lui a acheté une chemise à porter à la fête.	She bought him a shirt to wear to the party.
ventre	n.stomach	Elle dort sur le ventre.	She sleeps on her stomach.
atteindre	v.to reach	L'alpiniste a atteint le sommet de la montagne.	The mountaineer reached the peak of the mountain.
virer	n.fire	Tu dois virer la nouvelle standardiste.	You have to fire the new switchboard operator.
pluie	n.rain	Le niveau de l'eau était monté après la pluie.	The water level had risen after the rain.
couche	n.layer (of soil, snow, paint, etc.)	Une couche de givre recouvrait les fleurs.	A layer of frost blanketed the flowers.
voleur	n.thief	Je sais qui est le voleur.	I know who the thief is.
réveiller	v.to wake up	Je réveille mes enfants tôt tous les matins.	I wake my children early every morning.
souris	n.mouse	Le chat a mangé la souris.	The cat ate the mouse.
ombre	n.shadow	Il a peur de son ombre.	He is afraid of his shadow.
repos	n.rest	Le repos est important.	Rest is important.
blesser	v.to injure	Vous pourriez vous blesser.	You could injure yourself.
neige	n.snow	Ce matin, le sol était couvert de neige.	This morning, the ground was covered with snow.
lundi	n.monday	Je serai là-bas lundi soir.	I will be there Monday evening.
permettre	v.to allow	Je refuse de le permettre.	I refuse to allow it.
surveiller	v.to supervise	Pouvez-vous rester et surveiller les enfants ?	Can you stay and supervise the children?
chaise	n.chair	Le chien est sur la chaise.	The dog is on the chair.
hâte	adj.eager	J'ai hâte de voir le dernier épisode de cette série.	I am eager to watch the last part of this series.
véritable	adj.true	Je veux trouver le véritable amour.	I want to find true love.
siège	n.seat	Tu es assis dans mon siège.	You are sitting in my seat.
traduction	n.translation	J'ai choisi la traduction du mot la plus appropriée.	I chose the most suitable translation of the word.
montagne	n.mountain	Sa maison est au pied de la montagne.	His house is at the foot of the mountain.
